Player,Pos,WinScore,Efficiency,NBAPER,WNBAPER
Cheyenne Parker-Tyus,F,3.278,6.481,19.115,17.773
Jihyun Park,G,0.742,2.364,6.908,5.073
Alissa Pili,F,0.7,2.4,4.817,2.621
Justine Pissott,G-F,0.778,3.111,8.828,9.102
Tima Pouye,G,-0.158,2.526,5.563,2.123
Ashten Prechtel,F,0.7,2.6,5.023,-2.563
Cassandre Prosper,G,-0.743,1.114,1.249,-2.006
Nyadiew Puoch,F,0.897,3.872,5.684,4.079
JJ Quinerly,G,0.75,1.5,9.937,14.709
Angel Reese,F,10.91,20.974,19.182,21.054
Kiki Rice,G,4.854,13.458,15.238,15.499
Saniya Rivers,G,1.292,6.444,8.431,10.512
Mercedes Russell,C,0.7,2.4,7.603,-1.739
Nyara Sabally,F,6.646,13.667,18.277,20.437
Satou Sabally,F,2.615,9.077,14.107,14.806
Janelle Salaün,F,5.079,11.711,16.403,19.204
Karlie Samuelson,G,1.857,4.714,9.445,8.23
Katie Lou Samuelson,G,2.797,5.344,10.475,11.563
Jacy Sheldon,G,1.325,5.925,8.457,7.626
Jessica Shepard,F,13.855,23.947,20.641,24.466
Jaylyn Sherrod,G,0.75,2.8,10.208,7.872
Maddy Siegrist,F,3.514,7.297,15.818,17.839
Odyssey Sims,G,0.677,4.323,8.205,9.014
Kamiah Smalls,G,1.25,6.0,12.16,15.798
Alanna Smith,F,3.359,7.375,10.783,10.56
NaLyssa Smith,F,7.737,14.526,18.206,19.556
Miela Sowah,G,-0.833,-0.5,-12.126,-12.205
Azura Stevens,F-C,5.71,12.645,13.344,14.918
Breanna Stewart,F,10.615,21.949,21.34,25.821
Kiah Stokes,C,5.885,8.231,10.785,10.091
Marta Suárez,F,0.567,3.267,8.56,5.758
Brittney Sykes,G,4.324,15.471,17.604,20.996
Stephanie Talbot,F,2.475,5.05,8.139,7.593
Sydney Taylor,G,1.803,9.545,15.093,18.685
Taylor Thierry,G-F,1.231,2.0,10.64,10.121
Alyssa Thomas,F,9.908,21.579,17.78,20.533
Kayla Thornton,F,4.2,8.525,10.054,10.757
Makayla Timpson,F-C,5.538,8.949,13.731,13.972
Brianna Turner,F-C,1.851,3.243,5.857,4.035
Courtney Vandersloot,G,4.609,11.609,15.622,18.032
Hailey Van Lith,G,1.395,5.263,10.38,12.37
Julie Vanloo,G,3.6,9.6,14.162,12.812
Costanza Verona,G,3.0,6.0,35.043,46.289
Erica Wheeler,G,2.269,9.949,9.763,10.48
Sami Whitcomb,G,1.235,5.0,7.539,7.257
Christyn Williams,G,-1.0,-1.0,-7.966,-8.055
Courtney Williams,G,5.974,15.538,14.574,19.58
Elizabeth Williams,C-F,3.113,5.95,11.901,13.788
Gabby Williams,F,4.0,11.514,15.354,21.174
Peyton Williams,F,0.5,1.0,10.983,14.432
Serah Williams,F,2.357,5.229,11.401,10.167
A'ja Wilson,C,14.622,28.108,29.334,36.722
Ally Wilson,G,-0.25,2.0,3.768,2.183
Holly Winterburn,G,1.074,3.926,10.059,11.416
Han Xu,C,3.85,7.075,17.169,21.129
Mai Yamamoto,G,2.4,6.0,13.51,15.634
Jackie Young,G,8.577,20.974,19.985,24.858
Li Yueru,C,1.845,3.966,9.876,7.095
Cecilia Zandalasini,F,1.686,7.114,10.377,12.946
Laura Ziegler,F,1.0,3.333,9.583,6.528
