Player,Season,Pos,WinScore,Efficiency,NBAPER,WNBAPER
Jessika Carter,2024,C,-1.0,-1.5,-20.95,-19.661
Tina Charles,2024,C,8.974,18.103,16.717,21.403
Layshia Clarendon,2024,G,1.81,6.048,9.093,7.158
Alysha Clark,2024,F,3.6,8.025,7.809,6.654
Caitlin Clark,2024,G,7.062,20.2,15.485,18.792
Natasha Cloud,2024,G,4.882,14.316,11.886,13.415
Nia Coffey,2024,F,1.263,3.45,6.362,7.122
Napheesa Collier,2024,F,12.735,24.294,21.939,27.453
Sydney Colson,2024,G,0.919,2.677,10.477,11.16
Zia Cooke,2024,G,-0.638,1.414,4.279,6.507
Kahleah Copper,2024,G-F,3.257,15.081,13.494,17.176
Lorela Cubaj,2024,F-C,0.911,2.286,6.472,3.312
Sophie Cunningham,2024,G,5.462,10.675,10.779,10.643
Damiris Dantas,2024,C-F,2.175,4.65,11.583,13.911
Kaela Davis,2024,F,-0.5,1.0,1.999,1.464
Marquesha Davis,2024,G,0.25,1.05,7.462,6.243
Diamond DeShields,2024,G,0.016,3.25,5.706,6.225
Skylar Diggins,2024,G,4.338,15.325,15.797,18.886
Liz Dixon,2024,F,1.912,3.118,9.355,9.276
Ivana Dojkić,2024,G,0.538,2.654,8.108,7.551
Stefanie Dolson,2024,C,5.615,11.872,11.73,12.188
Aaliyah Edwards,2024,F,4.882,9.912,12.067,12.287
Emily Engstler,2024,F,5.25,8.969,19.299,21.956
Olivia Époupa,2024,G,1.265,2.824,9.849,8.077
Dana Evans,2024,G,1.115,5.897,9.365,11.702
Temi Fagbenle,2024,C,3.841,8.455,11.348,10.174
Dyaisha Fair,2024,G,-1.0,0.0,-2.26,1.494
Dulcy Fankam Mendjiadeu,2024,F-C,0.571,1.143,3.831,-0.299
Leonie Fiebich,2024,F,4.1,8.55,11.808,12.074
Kysre Gondrezick,2024,G,0.2,1.0,8.897,11.073
Allisha Gray,2024,G,4.775,13.3,13.219,15.969
Chelsea Gray,2024,G,4.037,10.481,11.862,14.734
Brittney Griner,2024,C,9.633,19.3,22.384,28.899
Megan Gustafson,2024,C,2.0,4.342,11.049,9.895
Dearica Hamby,2024,F,10.138,20.5,16.478,20.126
Isabelle Harrison,2024,F,2.472,6.417,10.482,13.661
Mikiah Herbert Harrigan,2024,F,1.419,3.0,9.212,10.249
Tyasha Harris,2024,G,3.0,9.436,10.739,13.247
Tiffany Hayes,2024,G,4.394,10.212,15.191,16.623
Destanni Henderson,2024,G,0.167,3.333,3.208,5.395
Natisha Hiedeman,2024,G,1.525,5.275,9.909,11.709
Naz Hillmon,2024,F,5.55,9.4,12.597,13.711
Joyner Holmes,2024,F,1.148,3.296,9.253,10.389
Jordan Horston,2024,F,4.679,9.256,12.026,13.825
Natasha Howard,2024,F,5.519,16.074,15.602,19.934
Rhyne Howard,2024,G,5.367,14.5,14.299,18.11
Lexie Hull,2024,G,2.574,6.324,9.281,7.39
Sabrina Ionescu,2024,G,6.053,17.105,16.451,22.722
Rickea Jackson,2024,F,3.662,10.975,12.152,16.01
Brionna Jones,2024,F,6.8,14.95,17.83,20.966
Haley Jones,2024,F-G,0.675,4.275,4.239,2.771
Jonquel Jones,2024,C,11.218,19.692,18.514,21.219
Dorka Juhász,2024,F,4.0,7.029,12.063,14.241
Ezinne Kalu,2024,G,-0.5,3.0,2.813,-7.71
Betnijah Laney-Hamilton,2024,G-F,5.018,12.786,12.006,14.385
Lou Lopez Sénéchal,2024,G,-0.167,0.63,1.985,1.308
Jewell Loyd,2024,G,4.108,15.378,14.651,18.616
Natasha Mack,2024,F,5.875,8.35,16.374,18.012
Ezi Magbegor,2024,F-C,9.622,16.622,17.142,19.106
Kate Martin,2024,G,1.103,2.794,5.61,5.648
Kayla McBride,2024,G,5.321,13.487,14.221,17.4
Teaira McCowan,2024,C,8.538,15.795,18.345,20.304
Aari McDonald,2024,G,2.365,8.731,11.68,13.177
Jade Melbourne,2024,G,0.824,4.514,8.303,9.314
Diamond Miller,2024,F,0.024,1.952,2.978,2.608
Kelsey Mitchell,2024,G,4.45,14.025,15.235,21.239
Tiffany Mitchell,2024,G,0.604,3.708,6.781,7.024
Nika Mühl,2024,G,-0.312,0.25,-1.868,-5.919
Astou Ndour-Fall,2024,C-F,0.432,1.091,5.986,5.507
Olivia Nelson-Ododa,2024,C,1.797,3.973,9.195,7.622
Kia Nurse,2024,G,0.9,5.425,7.636,8.707
Arike Ogunbowale,2024,G,5.829,19.105,15.705,19.878
Nneka Ogwumike,2024,F,10.5,20.324,19.736,24.741
Michaela Onyenwere,2024,F,0.588,4.618,6.995,8.151
Charisma Osborne,2024,G,-0.5,0.5,-2.884,-3.015
Cheyenne Parker-Tyus,2024,F,3.68,9.84,13.042,13.979
Alissa Pili,2024,F,0.205,1.818,4.058,0.83
Kelsey Plum,2024,G,3.382,14.079,12.488,15.772
Aerial Powers,2024,G,2.176,7.412,11.91,13.396
Angel Reese,2024,F,10.265,18.765,15.72,17.062
DiDi Richards,2024,G-F,0.737,2.368,6.279,7.355
Mercedes Russell,2024,C,3.041,5.703,9.865,10.78
Nyara Sabally,2024,C,5.096,8.038,18.72,19.339
Satou Sabally,2024,F,8.1,19.133,16.467,19.054
Karlie Samuelson,2024,G,3.931,9.103,11.317,12.661
Katie Lou Samuelson,2024,F,2.243,5.216,7.759,7.563
Victaria Saxton,2024,F,-0.222,0.333,-0.384,-2.629
Jacy Sheldon,2024,G,1.012,5.675,5.983,5.172
Jaylyn Sherrod,2024,G,0.7,1.8,18.265,21.107
Maddy Siegrist,2024,F,4.093,9.37,13.586,17.606
Alanna Smith,2024,F,7.026,13.641,15.705,17.05
