"Player","Team","Pos","G","MP","G.1","GS","MP.1","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","FT","FTA","FT%","ORB","TRB","AST","STL","BLK","TOV","PF","PTS"
"Jade Melbourne","WAS","G","37","525","37","0","525","72","166",".434","20","56",".357","52","110",".473","35","49",".714","13","55","59","24","5","62","54","199"
"Diamond Miller","MIN","F","21","213","21","4","213","21","69",".304","5","26",".192","16","43",".372","14","24",".583","9","37","13","7","1","19","23","61"
"Kelsey Mitchell","IND","G","40","1280","40","38","1280","282","602",".468","109","271",".402","173","331",".523","94","113",".832","27","99","71","27","7","64","63","767"
"Tiffany Mitchell","CON","G","24","392","24","0","392","38","109",".349","6","24",".250","32","85",".376","36","46",".783","11","37","19","11","1","15","29","118"
"Nika Mühl","SEA","G","16","57","16","0","57","1","14",".071","0","11",".000","1","3",".333","0","0","","6","10","7","2","0","4","9","2"
"Astou Ndour-Fall","CON","C-F","22","92","22","0","92","9","26",".346","2","10",".200","7","16",".438","5","6",".833","2","18","1","1","4","3","10","25"
"Olivia Nelson-Ododa","CON","C","37","437","37","0","437","49","99",".495","0","0","","49","99",".495","27","41",".659","30","93","8","14","21","29","63","125"
"Kia Nurse","LAS","G","40","810","40","27","810","102","263",".388","53","160",".331","49","103",".476","46","58",".793","17","64","53","19","1","49","72","303"
"Arike Ogunbowale","DAL","G","38","1465","38","38","1465","279","729",".383","112","324",".346","167","405",".412","175","190",".921","29","173","195","81","11","103","107","845"
"Nneka Ogwumike","SEA","F","37","1177","37","37","1177","252","493",".511","30","74",".405","222","419",".530","85","97",".876","69","280","86","69","20","49","84","619"
"Michaela Onyenwere","CHI","F","34","636","34","18","636","88","212",".415","25","68",".368","63","144",".438","25","41",".610","19","62","33","19","12","43","68","226"
"Charisma Osborne","PHO","G","2","10","2","0","10","1","2",".500","0","0","","1","2",".500","0","0","","0","1","1","0","0","2","1","2"
"Player","Team","Pos","G","MP","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","FT","FTA","FT%","ORB","TRB","AST","STL","BLK","TOV","PF","PTS"
"Cheyenne Parker-Tyus","ATL","F","25","492","25","11","492","83","187",".444","3","14",".214","80","173",".462","62","70",".886","31","121","37","21","9","52","60","231"
"Alissa Pili","MIN","F","22","138","22","0","138","19","45",".422","9","27",".333","10","18",".556","6","11",".545","6","27","5","5","2","19","29","53"
"Kelsey Plum","LVA","G","38","1291","38","38","1291","232","549",".423","110","299",".368","122","250",".488","103","119",".866","10","98","159","27","1","93","104","677"
"Aerial Powers","ATL","G","17","304","17","2","304","49","138",".355","14","36",".389","35","102",".343","34","43",".791","15","56","24","16","4","18","35","146"
"Angel Reese","CHI","F","34","1104","34","34","1104","164","419",".391","3","16",".188","161","403",".400","131","178",".736","172","446","63","44","16","75","119","462"
"DiDi Richards","WAS","G-F","19","198","19","7","198","20","50",".400","0","4",".000","20","46",".435","6","14",".429","10","29","13","2","4","7","15","46"
"Mercedes Russell","SEA","C","37","583","37","6","583","62","120",".517","0","0","","62","120",".517","21","33",".636","26","110","30","22","9","26","43","145"
"Nyara Sabally","NYL","C","26","352","26","0","352","50","87",".575","0","2",".000","50","85",".588","28","40",".700","34","105","15","23","19","13","41","128"
"Satou Sabally","DAL","F","15","512","15","15","512","89","209",".426","38","84",".452","51","125",".408","53","68",".779","18","96","75","19","8","37","48","269"
"Karlie Samuelson","WAS","G","29","711","29","19","711","79","193",".409","49","123",".398","30","70",".429","36","39",".923","15","74","62","27","1","25","48","243"
"Katie Lou Samuelson","IND","F","37","674","37","15","674","51","146",".349","33","100",".330","18","46",".391","24","25",".960","17","85","51","12","9","18","53","159"
"Victaria Saxton","IND","F","9","23","9","0","23","3","9",".333","1","4",".250","2","5",".400","1","2",".500","0","3","0","0","0","1","4","8"
"Jacy Sheldon","DAL","G","40","931","40","26","931","81","210",".386","30","97",".309","51","113",".451","25","27",".926","27","82","99","23","12","63","101","217"
"Jaylyn Sherrod","NYL","G","10","37","10","0","37","7","14",".500","2","6",".333","5","8",".625","3","6",".500","2","3","5","3","1","2","4","19"
"Maddy Siegrist","DAL","F","27","644","27","13","644","106","210",".505","10","37",".270","96","173",".555","33","43",".767","43","90","27","10","10","15","33","255"
"Alanna Smith","MIN","F","39","1035","39","39","1035","147","312",".471","47","118",".398","100","194",".515","54","72",".750","61","219","124","53","57","76","119","395"
"NaLyssa Smith","IND","F","40","990","40","37","990","168","350",".480","14","48",".292","154","302",".510","72","127",".567","72","285","41","30","39","52","107","422"
"Stephanie Soares","DAL","C","22","175","22","3","175","10","34",".294","2","12",".167","8","22",".364","2","2","1.000","18","47","10","2","8","12","18","24"
"Taylor Soule","MIN","F","2","3","2","0","3","0","0","","0","0","","0","0","","0","0","","0","1","0","0","0","1","0","0"
"Azura Stevens","LAS","F-C","20","493","20","19","493","71","178",".399","28","80",".350","43","98",".439","22","27",".815","20","140","38","17","18","36","39","192"
"Player","Team","Pos","G","MP","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","FT","FTA","FT%","ORB","TRB","AST","STL","BLK","TOV","PF","PTS"
"Breanna Stewart","NYL","F","38","1243","38","38","1243","265","578",".458","46","156",".295","219","422",".519","201","238",".845","61","323","134","64","48","65","80","777"
"Kiah Stokes","LVA","C","39","716","39","29","716","20","62",".323","9","40",".225","11","22",".500","6","9",".667","23","184","28","21","33","15","68","55"
"Brittney Sykes","WAS","G","18","419","18","18","419","81","200",".405","16","59",".271","65","141",".461","42","56",".750","11","73","55","16","7","40","26","220"
"Stephanie Talbot","LAS","F","37","600","37","10","600","49","124",".395","13","50",".260","36","74",".486","20","29",".690","21","101","76","19","17","37","51","131"
"Diana Taurasi","PHO","G","36","1044","36","36","1044","172","430",".400","86","258",".333","86","172",".500","108","126",".857","13","137","122","22","10","68","92","538"
"Alyssa Thomas","CON","F","40","1296","40","40","1296","166","326",".509","0","4",".000","166","322",".516","91","145",".628","98","337","317","62","18","145","84","423"
"Kayla Thornton","NYL","F","40","809","40","11","809","77","203",".379","45","126",".357","32","77",".416","22","26",".846","39","103","27","29","9","23","56","221"
"Brianna Turner","CHI","F-C","27","253","27","2","253","16","26",".615","0","0","","16","26",".615","1","2",".500","11","53","10","9","13","12","28","33"
"Sevgi Uzun","DAL","G","40","820","40","19","820","68","199",".342","20","84",".238","48","115",".417","19","23",".826","9","65","119","37","11","73","60","175"
"Courtney Vandersloot","NYL","G","31","691","31","31","691","81","182",".445","18","67",".269","63","115",".548","17","31",".548","13","81","149","25","15","56","53","197"
"Julie Vanloo","WAS","G","40","926","40","34","926","106","306",".346","72","222",".324","34","84",".405","10","15",".667","5","65","173","19","1","102","86","294"
"Victoria Vivians","SEA","G-F","35","445","35","15","445","41","123",".333","22","69",".319","19","54",".352","6","9",".667","19","69","29","13","7","20","42","110"
"Shatori Walker-Kimbrough","WAS","G","40","883","40","2","883","105","253",".415","35","106",".330","70","147",".476","54","67",".806","13","69","75","42","18","54","40","299"
"Kristy Wallace","IND","G","26","447","26","15","447","47","117",".402","17","58",".293","30","59",".508","12","18",".667","11","48","45","18","6","17","29","123"
"Erica Wheeler","IND","G","39","546","39","2","546","58","141",".411","15","52",".288","43","89",".483","11","13",".846","7","53","69","17","4","35","45","142"
"Sami Whitcomb","SEA","G","40","611","40","3","611","72","208",".346","47","161",".292","25","47",".532","9","11",".818","15","74","64","30","9","40","56","200"
"Courtney Williams","MIN","G","40","1061","40","40","1061","194","438",".443","23","69",".333","171","369",".463","34","42",".810","14","186","221","36","16","98","77","445"
"Elizabeth Williams","CHI","C-F","9","249","9","9","249","37","76",".487","0","0","","37","76",".487","16","24",".667","25","63","14","15","15","15","19","90"
"Gabby Williams","SEA","F","12","351","12","11","351","50","104",".481","10","31",".323","40","73",".548","14","19",".737","9","48","44","20","3","17","21","124"
"Kiana Williams","SEA","G","13","45","13","0","45","4","16",".250","3","9",".333","1","7",".143","0","0","","0","2","5","0","0","2","3","11"
"Player","Team","Pos","G","MP","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","FT","FTA","FT%","ORB","TRB","AST","STL","BLK","TOV","PF","PTS"
"A'ja Wilson","LVA","C","38","1308","38","38","1308","385","743",".518","19","60",".317","366","683",".536","232","275",".844","79","451","88","68","98","48","67","1021"
"Jackie Young","LVA","G","37","1205","37","37","1205","201","467",".430","70","208",".337","131","259",".506","111","128",".867","26","161","197","37","8","78","92","583"
"Li Yueru","LAS","C","38","546","38","2","546","68","147",".463","4","15",".267","64","132",".485","53","59",".898","55","140","22","12","9","33","80","193"
"Cecilia Zandalasini","MIN","F","40","487","40","0","487","67","148",".453","31","70",".443","36","78",".462","18","29",".621","5","46","43","15","9","31","55","183"
"Rachel Banham","TOT","G","37","586","37","9","586","71","202",".351","52","142",".366","19","60",".317","16","20",".800","7","53","40","14","7","20","58","210"
"Morgan Bertsch","TOT","F","11","100","11","0","100","6","30",".200","2","15",".133","4","15",".267","8","10",".800","8","17","2","1","1","13","14","22"
"Monique Billings","TOT","F","37","843","37","14","843","107","230",".465","3","14",".214","104","216",".481","57","71",".803","65","213","53","27","19","65","84","274"
"Crystal Dangerfield","TOT","G","33","441","33","5","441","37","131",".282","17","62",".274","20","69",".290","15","17",".882","2","34","62","11","6","26","25","106"
"Queen Egbo","TOT","F-C","8","29","8","0","29","5","12",".417","0","0","","5","12",".417","2","2","1.000","3","10","0","3","1","0","4","12"
"Myisha Hines-Allen","TOT","F","40","746","40","11","746","120","244",".492","18","50",".360","102","194",".526","55","66",".833","42","187","102","26","4","56","81","313"
"Moriah Jefferson","TOT","G","23","185","23","0","185","9","42",".214","4","19",".211","5","23",".217","9","10",".900","3","9","30","8","0","8","17","31"
"Sika Koné","TOT","F","27","217","27","0","217","36","84",".429","4","7",".571","32","77",".416","31","36",".861","14","55","12","6","2","14","25","107"
"Marina Mabrey","TOT","G","40","1235","40","27","1235","214","518",".413","98","260",".377","116","258",".450","49","69",".710","22","174","163","45","17","94","104","575"
"Odyssey Sims","TOT","G","24","700","24","17","700","117","242",".483","20","58",".345","97","184",".527","48","63",".762","17","51","127","28","5","52","36","302"
"Sug Sutton","TOT","G","29","379","29","0","379","24","79",".304","10","41",".244","14","38",".368","9","13",".692","6","28","62","16","1","34","26","67"
"Celeste Taylor","TOT","G","22","328","22","4","328","21","62",".339","6","30",".200","15","32",".469","10","18",".556","6","28","28","15","10","22","22","58"
"Rachel Banham","CON","G","21","270","21","0","270","34","95",".358","23","66",".348","11","29",".379","9","10",".900","3","25","14","8","5","11","31","100"
"Morgan Bertsch","PHO","F","8","78","8","0","78","6","27",".222","2","14",".143","4","13",".308","7","8",".875","7","12","2","0","1","9","10","21"
"Monique Billings","DAL","F","24","609","24","12","609","84","177",".475","1","7",".143","83","170",".488","41","51",".804","45","159","46","15","13","51","59","210"
"Crystal Dangerfield","ATL","G","15","211","15","0","211","15","54",".278","5","23",".217","10","31",".323","11","11","1.000","1","16","26","4","3","9","13","46"
"Player","Team","Pos","G","MP","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","FT","FTA","FT%","ORB","TRB","AST","STL","BLK","TOV","PF","PTS"
"Queen Egbo","CON","F-C","3","7","3","0","7","0","5",".000","0","0","","0","5",".000","2","2","1.000","1","2","0","0","0","0","1","2"
"Myisha Hines-Allen","WAS","F","27","516","27","10","516","86","176",".489","14","39",".359","72","137",".526","29","35",".829","27","132","73","15","2","39","51","215"
"Moriah Jefferson","CON","G","9","61","9","0","61","6","16",".375","3","9",".333","3","7",".429","4","4","1.000","0","2","6","6","0","2","8","19"
"Sika Koné","MIN","F","17","57","17","0","57","7","17",".412","0","0","","7","17",".412","7","9",".778","7","12","1","2","0","5","5","21"
"Marina Mabrey","CHI","G","24","796","24","24","796","123","323",".381","56","161",".348","67","162",".414","34","47",".723","17","118","109","29","7","67","64","336"
"Odyssey Sims","DAL","G","9","305","9","7","305","61","114",".535","16","32",".500","45","82",".549","17","26",".654","11","26","50","15","4","16","15","155"
"Sug Sutton","PHO","G","22","328","22","0","328","22","72",".306","10","37",".270","12","35",".343","9","13",".692","6","24","52","14","1","29","25","63"
"Celeste Taylor","IND","G","5","16","5","0","16","1","1","1.000","0","0","","1","1","1.000","1","2",".500","0","1","1","0","1","1","1","3"
"Queen Egbo","LAS","F-C","2","4","2","0","4","1","1","1.000","0","0","","1","1","1.000","0","0","","1","3","0","1","0","0","1","2"
"Queen Egbo","LVA","F-C","3","18","3","0","18","4","6",".667","0","0","","4","6",".667","0","0","","1","5","0","2","1","0","2","8"
"Morgan Bertsch","DAL","F","3","22","3","0","22","0","3",".000","0","1",".000","0","2",".000","1","2",".500","1","5","0","1","0","4","4","1"
"Moriah Jefferson","CHI","G","14","124","14","0","124","3","26",".115","1","10",".100","2","16",".125","5","6",".833","3","7","24","2","0","6","9","12"
"Odyssey Sims","LAS","G","15","395","15","10","395","56","128",".438","4","26",".154","52","102",".510","31","37",".838","6","25","77","13","1","36","21","147"
"Celeste Taylor","CON","G","2","11","2","0","11","1","1","1.000","0","0","","1","1","1.000","0","0","","0","0","0","0","0","0","4","2"
"Celeste Taylor","PHO","G","15","301","15","4","301","19","60",".317","6","30",".200","13","30",".433","9","16",".563","6","27","27","15","9","21","17","53"
"Crystal Dangerfield","LAS","G","18","230","18","5","230","22","77",".286","12","39",".308","10","38",".263","4","6",".667","1","18","36","7","3","17","12","60"
"Sika Koné","WAS","F","10","160","10","0","160","29","67",".433","4","7",".571","25","60",".417","24","27",".889","7","43","11","4","2","9","20","86"
"Rachel Banham","CHI","G","16","316","16","9","316","37","107",".346","29","76",".382","8","31",".258","7","10",".700","4","28","26","6","2","9","27","110"
"Sug Sutton","WAS","G","7","51","7","0","51","2","7",".286","0","4",".000","2","3",".667","0","0","","0","4","10","2","0","5","1","4"
"Monique Billings","PHO","F","13","234","13","2","234","23","53",".434","2","7",".286","21","46",".457","16","20",".800","20","54","7","12","6","14","25","64"
