Player,Team,Pos,G,MP,G.1,GS,MP.1,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Stephanie Talbot,LVA,F,40,676,40,39,676,54,125,.432,18,70,.257,36,55,.655,12,18,.667,31,102,40,26,12,27,64,138
Sydney Taylor,CHI,G,33,670,33,22,670,161,370,.435,66,196,.337,95,174,.546,68,84,.810,12,51,58,24,7,49,86,456
Taylor Thierry,SEA,G-F,13,77,13,0,77,4,13,.308,3,8,.375,1,5,.200,2,2,1.000,12,18,4,2,0,2,6,13
Alyssa Thomas,PHO,F,38,1273,38,38,1273,207,404,.512,1,3,.333,206,401,.514,126,181,.696,62,292,320,53,17,134,99,541
Kayla Thornton,GSV,F,40,963,40,40,963,101,275,.367,61,171,.357,40,104,.385,50,54,.926,52,179,28,24,9,25,79,313
Makayla Timpson,IND,F-C,39,750,39,10,750,91,143,.636,0,0,,91,143,.636,34,52,.654,60,190,21,22,31,30,78,216
Brianna Turner,LVA,F-C,37,478,37,3,478,30,51,.588,0,0,,30,51,.588,2,2,1.000,21,85,8,9,19,23,52,62
Courtney Vandersloot,CHI,G,23,506,23,20,506,71,164,.433,22,57,.386,49,107,.458,44,58,.759,10,65,120,27,7,46,37,208
Hailey Van Lith,CON,G,19,288,19,3,288,40,98,.408,12,32,.375,28,66,.424,12,14,.857,6,25,35,15,4,19,26,104
Julie Vanloo,NYL,G,5,81,5,0,81,9,17,.529,7,14,.500,2,3,.667,4,4,1.000,1,10,27,2,0,12,11,29
Costanza Verona,DAL,G,1,6,1,0,6,2,2,1.000,0,0,,2,2,1.000,0,0,,0,0,2,0,0,0,0,4
Erica Wheeler,LAS,G,39,1054,39,37,1054,129,325,.397,53,170,.312,76,155,.490,41,47,.872,9,76,201,36,4,75,109,352
Sami Whitcomb,PHO,G,17,281,17,6,281,27,83,.325,21,65,.323,6,18,.333,11,11,1.000,6,29,34,11,1,19,30,86
Christyn Williams,DAL,G,1,5,1,0,5,0,2,.000,0,1,.000,0,1,.000,1,2,.500,0,1,0,0,0,0,0,1
Courtney Williams,MIN,G,39,1192,39,39,1192,236,521,.453,45,123,.366,191,398,.480,41,50,.820,33,195,169,46,11,68,84,558
Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Elizabeth Williams,CHI,C-F,40,655,40,1,655,81,175,.463,0,0,,81,175,.463,39,87,.448,49,137,53,22,31,33,52,201
Gabby Williams,GSV,F,37,917,37,37,917,190,467,.407,64,185,.346,126,282,.447,85,117,.726,24,122,81,61,6,58,48,529
Peyton Williams,PHO,F,1,6,1,0,6,0,1,.000,0,0,,0,1,.000,0,0,,0,0,2,0,1,0,0,0
Serah Williams,POR,F,35,445,35,2,445,60,106,.566,1,2,.500,59,104,.567,30,48,.625,29,91,18,14,14,27,65,151
A'ja Wilson,LVA,C,37,1185,37,37,1185,339,648,.523,35,88,.398,304,560,.543,249,290,.859,67,349,117,53,74,91,69,962
Ally Wilson,WAS,G,4,58,4,0,58,4,15,.267,2,11,.182,2,4,.500,2,3,.667,5,7,3,0,1,2,7,12
Holly Winterburn,POR,G,27,278,27,1,278,35,88,.398,7,43,.163,28,45,.622,13,15,.867,10,34,48,13,1,24,26,90
Han Xu,NYL,C,40,558,40,2,558,97,191,.508,35,87,.402,62,104,.596,28,33,.848,31,103,28,13,26,19,39,257
Mai Yamamoto,LVA,G,10,152,10,0,152,18,47,.383,13,33,.394,5,14,.357,9,9,1.000,3,9,18,8,0,4,9,58
Jackie Young,LVA,G,39,1262,39,39,1262,263,544,.483,91,235,.387,172,309,.557,120,129,.930,29,173,258,33,11,93,83,737
Li Yueru,DAL,C,29,299,29,0,299,27,70,.386,8,33,.242,19,37,.514,35,48,.729,25,76,13,4,8,19,42,97
Cecilia Zandalasini,GSV,F,35,670,35,32,670,114,287,.397,47,144,.326,67,143,.469,34,41,.829,11,76,62,30,6,48,69,309
Laura Ziegler,LAS,F,3,29,3,0,29,3,8,.375,0,3,.000,3,5,.600,2,3,.667,1,4,3,1,1,0,5,8
Monique Akoa Makani,TOT,G,26,568,26,17,568,70,162,.432,27,67,.403,43,95,.453,44,52,.846,4,47,60,26,7,49,75,211
Chloe Bibby,TOT,F,7,70,7,0,70,11,27,.407,5,17,.294,6,10,.600,2,2,1.000,0,4,6,2,3,6,7,29
DeWanna Bonner,TOT,F-G,38,1038,38,26,1038,133,335,.397,45,171,.263,88,164,.537,89,105,.848,32,229,59,44,29,31,63,400
Lexi Held,TOT,G,38,572,38,8,572,66,174,.379,31,88,.352,35,86,.407,24,27,.889,14,41,51,17,4,31,48,187
Haley Jones,TOT,F-G,8,67,8,0,67,12,21,.571,0,3,.000,12,18,.667,6,8,.750,2,12,5,2,0,6,9,30
Betnijah Laney-Hamilton,TOT,G-F,26,431,26,5,431,40,105,.381,14,53,.264,26,52,.500,28,35,.800,6,50,51,9,4,34,37,122
Ta'Niya Latson,TOT,G,17,100,17,0,100,12,31,.387,3,9,.333,9,22,.409,21,27,.778,4,15,7,1,1,11,8,48
Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Anneli Maley,TOT,F,9,70,9,0,70,1,15,.067,1,6,.167,0,9,.000,3,4,.750,5,11,2,5,1,1,14,6
Aneesah Morrow,TOT,F,27,599,27,10,599,114,270,.422,23,84,.274,91,186,.489,45,70,.643,69,224,39,24,13,42,59,296
Amy Okonkwo,TOT,F,4,32,4,0,32,5,15,.333,4,11,.364,1,4,.250,3,4,.750,2,4,1,1,0,0,4,17
Kelsey Plum,TOT,G,17,519,17,15,519,126,243,.519,40,106,.377,86,137,.628,74,91,.813,3,35,91,17,0,48,56,366
Saylor Poffenbarger,TOT,F,6,40,6,0,40,0,8,.000,0,8,.000,0,0,,0,0,,1,8,1,2,0,0,5,0
Sug Sutton,TOT,G,25,257,25,2,257,34,74,.459,7,26,.269,27,48,.563,9,14,.643,2,21,50,9,2,21,21,84
Grace VanSlooten,TOT,F,18,84,18,0,84,9,12,.750,2,3,.667,7,9,.778,5,8,.625,1,10,4,4,4,4,8,25
Shatori Walker-Kimbrough,TOT,G,12,34,12,0,34,4,7,.571,1,1,1.000,3,6,.500,4,4,1.000,0,3,6,2,0,1,1,13
Maddy Westbeld,TOT,F,6,76,6,0,76,5,18,.278,3,10,.300,2,8,.250,4,4,1.000,3,12,5,3,1,5,14,17
Kiana Williams,TOT,G,24,310,24,0,310,35,100,.350,19,67,.284,16,33,.485,9,12,.750,1,10,29,9,1,20,26,98
Monique Akoa Makani,PHO,G,19,444,19,16,444,58,132,.439,24,55,.436,34,77,.442,38,44,.864,2,39,48,22,4,38,57,178
Chloe Bibby,CHI,F,4,51,4,0,51,8,20,.400,4,12,.333,4,8,.500,2,2,1.000,0,2,6,2,1,2,5,22
DeWanna Bonner,PHO,F-G,37,1021,37,26,1021,130,330,.394,44,168,.262,86,162,.531,89,105,.848,30,225,57,43,29,29,62,393
Lexi Held,TOR,G,8,60,8,0,60,3,10,.300,2,4,.500,1,6,.167,1,1,1.000,3,6,7,1,0,4,7,9
Haley Jones,POR,F-G,5,57,5,0,57,10,17,.588,0,3,.000,10,14,.714,6,8,.750,2,11,5,2,0,6,9,26
Betnijah Laney-Hamilton,NYL,G-F,17,285,17,5,285,25,69,.362,9,37,.243,16,32,.500,21,26,.808,3,32,26,5,3,26,25,80
Ta'Niya Latson,LAS,G,10,50,10,0,50,3,11,.273,1,4,.250,2,7,.286,11,15,.733,3,10,3,0,0,7,3,18
Anneli Maley,PHO,F,2,6,2,0,6,0,2,.000,0,0,,0,2,.000,1,2,.500,0,2,0,0,0,0,1,1
Aneesah Morrow,CON,F,20,463,20,9,463,91,216,.421,19,67,.284,72,149,.483,30,48,.625,53,178,33,19,9,34,42,231
Amy Okonkwo,ATL,F,1,1,1,0,1,0,1,.000,0,1,.000,0,0,,1,2,.500,0,1,0,0,0,0,1,1
Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Kelsey Plum,LAS,G,12,414,12,12,414,99,188,.527,31,81,.383,68,107,.636,58,72,.806,3,26,77,14,0,37,41,287
Saylor Poffenbarger,CHI,F,5,26,5,0,26,0,4,.000,0,4,.000,0,0,,0,0,,1,6,1,2,0,0,3,0
Sug Sutton,POR,G,3,68,3,2,68,13,31,.419,2,8,.250,11,23,.478,6,10,.600,1,5,17,2,0,6,5,34
Grace VanSlooten,SEA,F,4,48,4,0,48,5,8,.625,2,3,.667,3,5,.600,5,8,.625,1,6,3,4,3,1,2,17
Shatori Walker-Kimbrough,IND,G,2,7,2,0,7,0,1,.000,0,0,,0,1,.000,0,0,,0,0,0,0,0,1,0,0
Maddy Westbeld,CHI,F,3,28,3,0,28,1,6,.167,1,5,.200,0,1,.000,0,0,,2,4,2,0,0,1,6,3
Kiana Williams,PHO,G,8,105,8,0,105,12,33,.364,9,25,.360,3,8,.375,5,5,1.000,0,3,4,4,1,6,10,38
Amy Okonkwo,POR,F,3,31,3,0,31,5,14,.357,4,10,.400,1,4,.250,2,2,1.000,2,3,1,1,0,0,3,16
Anneli Maley,NYL,F,7,64,7,0,64,1,13,.077,1,6,.167,0,7,.000,2,2,1.000,5,9,2,5,1,1,13,5
Shatori Walker-Kimbrough,ATL,G,10,27,10,0,27,4,6,.667,1,1,1.000,3,5,.600,4,4,1.000,0,3,6,2,0,0,1,13
Sug Sutton,DAL,G,22,189,22,0,189,21,43,.488,5,18,.278,16,25,.640,3,4,.750,1,16,33,7,2,15,16,50
Maddy Westbeld,PHO,F,3,48,3,0,48,4,12,.333,2,5,.400,2,7,.286,4,4,1.000,1,8,3,3,1,4,8,14
Chloe Bibby,MIN,F,3,19,3,0,19,3,7,.429,1,5,.200,2,2,1.000,0,0,,0,2,0,0,2,4,2,7
Grace VanSlooten,IND,F,14,36,14,0,36,4,4,1.000,0,0,,4,4,1.000,0,0,,0,4,1,0,1,3,6,8
Haley Jones,DAL,F-G,3,10,3,0,10,2,4,.500,0,0,,2,4,.500,0,0,,0,1,0,0,0,0,0,4
Saylor Poffenbarger,PHO,F,1,14,1,0,14,0,4,.000,0,4,.000,0,0,,0,0,,0,2,0,0,0,0,2,0
Lexi Held,PHO,G,30,512,30,8,512,63,164,.384,29,84,.345,34,80,.425,23,26,.885,11,35,44,16,4,27,41,178
Kiana Williams,LAS,G,13,146,13,0,146,17,46,.370,7,31,.226,10,15,.667,1,3,.333,1,6,21,4,0,10,14,42
Ta'Niya Latson,LVA,G,7,50,7,0,50,9,20,.450,2,5,.400,7,15,.467,10,12,.833,1,5,4,1,1,4,5,30
Kelsey Plum,PHO,G,5,105,5,3,105,27,55,.491,9,25,.360,18,30,.600,16,19,.842,0,9,14,3,0,11,15,79
Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Betnijah Laney-Hamilton,WAS,G-F,9,146,9,0,146,15,36,.417,5,16,.313,10,20,.500,7,9,.778,3,18,25,4,1,8,12,42
Monique Akoa Makani,LAS,G,7,124,7,1,124,12,30,.400,3,12,.250,9,18,.500,6,8,.750,2,8,12,4,3,11,18,33
Aneesah Morrow,TOR,F,7,136,7,1,136,23,54,.426,4,17,.235,19,37,.514,15,22,.682,16,46,6,5,4,8,17,65
Kiana Williams,TOR,G,3,59,3,0,59,6,21,.286,3,11,.273,3,10,.300,3,4,.750,0,1,4,1,0,4,2,18
DeWanna Bonner,ATL,F-G,1,17,1,0,17,3,5,.600,1,3,.333,2,2,1.000,0,0,,2,4,2,1,0,2,1,7
