"Player","Team","Pos","G","MP","G.1","GS","MP.1","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","FT","FTA","FT%","ORB","TRB","AST","STL","BLK","TOV","PF","PTS"
"Queen Egbo","TOT","F-C","37","475","37","0","475","74","148",".500","0","0","","74","148",".500","30","47",".638","40","158","11","15","24","35","86","178"
"Destanni Henderson","TOT","G","15","200","15","1","200","19","57",".333","3","24",".125","16","33",".485","16","21",".762","3","12","27","7","1","14","18","57"
"Joyner Holmes","TOT","F","34","355","34","2","355","41","110",".373","15","48",".313","26","62",".419","16","21",".762","24","84","28","9","10","19","39","113"
"Ashley Joens","TOT","G","19","127","19","0","127","13","36",".361","10","23",".435","3","13",".231","3","6",".500","0","11","1","3","0","5","7","39"
"Evina Westbrook","TOT","G","18","128","18","0","128","5","30",".167","2","16",".125","3","14",".214","8","8","1.000","3","17","10","3","3","10","16","20"
"Amanda Zahui B.","TOT","C","34","253","34","1","253","18","70",".257","6","37",".162","12","33",".364","15","20",".750","7","38","10","6","18","15","45","57"
"Kristine Anigwe","CHI","F-C","10","83","10","0","83","10","22",".455","0","1",".000","10","21",".476","5","8",".625","8","21","4","3","5","6","20","25"
"Alaina Coates","PHO","C","2","5","2","0","5","1","1","1.000","0","0","","1","1","1.000","0","0","","0","0","0","1","0","0","1","2"
"Queen Egbo","IND","F-C","16","143","16","0","143","18","45",".400","0","0","","18","45",".400","11","17",".647","16","65","2","2","8","11","31","47"
"Destanni Henderson","LAS","G","10","169","10","1","169","17","47",".362","2","19",".105","15","28",".536","14","19",".737","2","8","25","7","1","13","14","50"
"Joyner Holmes","LAS","F","5","60","5","0","60","8","23",".348","2","7",".286","6","16",".375","3","4",".750","5","17","1","0","2","4","6","21"
"Player","Team","Pos","G","MP","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","FT","FTA","FT%","ORB","TRB","AST","STL","BLK","TOV","PF","PTS"
"Evina Westbrook","PHO","G","9","72","9","0","72","2","20",".100","0","11",".000","2","9",".222","6","6","1.000","1","9","4","1","1","4","7","10"
"Amanda Zahui B.","WAS","C","12","93","12","1","93","6","24",".250","3","14",".214","3","10",".300","9","12",".750","2","17","3","3","7","5","20","24"
"Liz Dixon","CON","F","4","21","4","0","21","2","5",".400","0","0","","2","5",".400","0","0","","1","2","1","0","1","2","1","4"
"Alaina Coates","LVA","C","10","30","10","0","30","4","5",".800","0","0","","4","5",".800","1","4",".250","2","10","0","2","0","7","9","9"
"Liz Dixon","PHO","F","10","56","10","0","56","8","14",".571","0","0","","8","14",".571","7","8",".875","8","13","2","0","2","2","3","23"
"Joyner Holmes","SEA","F","29","295","29","2","295","33","87",".379","13","41",".317","20","46",".435","13","17",".765","19","67","27","9","8","15","33","92"
"Ashley Joens","LVA","G","2","6","2","0","6","0","1",".000","0","1",".000","0","0","","0","0","","0","0","0","0","0","0","0","0"
"Evina Westbrook","LAS","G","9","56","9","0","56","3","10",".300","2","5",".400","1","5",".200","2","2","1.000","2","8","6","2","2","6","9","10"
"Kristine Anigwe","CON","F-C","3","6","3","0","6","0","2",".000","0","0","","0","2",".000","0","0","","0","1","0","0","0","1","3","0"
"Destanni Henderson","PHO","G","5","31","5","0","31","2","10",".200","1","5",".200","1","5",".200","2","2","1.000","1","4","2","0","0","1","4","7"
"Ashley Joens","DAL","G","9","14","9","0","14","1","4",".250","0","2",".000","1","2",".500","1","4",".250","0","2","0","1","0","0","0","3"
"Ashley Joens","PHO","G","8","107","8","0","107","12","31",".387","10","20",".500","2","11",".182","2","2","1.000","0","9","1","2","0","5","7","36"
"Amanda Zahui B.","IND","C","22","160","22","0","160","12","46",".261","3","23",".130","9","23",".391","6","8",".750","5","21","7","3","11","10","25","33"
"Queen Egbo","WAS","F-C","21","332","21","0","332","56","103",".544","0","0","","56","103",".544","19","30",".633","24","93","9","13","16","24","55","131"
