"Player","Team","Pos","G","MP","GS","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS"
"Rhyne Howard","ATL","G",30,1018,29,167,450,0.371,80,243,0.329,87,207,0.42,105,134,0.784,25,106,131,94,54,19,51,63,519
"Lexie Hull","IND","G",34,671,11,60,136,0.441,33,70,0.471,27,66,0.409,33,41,0.805,33,51,84,36,22,11,29,85,186
"Sabrina Ionescu","NYL","G",38,1221,38,239,606,0.394,107,321,0.333,132,285,0.463,106,118,0.898,28,141,169,235,38,13,104,46,691
"Rickea Jackson","LAS","F",40,1152,35,200,439,0.456,43,124,0.347,157,315,0.498,92,114,0.807,51,104,155,59,27,14,76,70,535
"Brionna Jones","CON","F",40,1087,40,220,409,0.538,2,14,0.143,218,395,0.552,107,145,0.738,86,135,221,60,46,23,51,106,549
"Haley Jones","ATL","F-G",40,712,24,58,146,0.397,6,28,0.214,52,118,0.441,33,47,0.702,10,78,88,84,14,11,68,80,155
"Jonquel Jones","NYL","C",39,1164,39,206,383,0.538,59,152,0.388,147,231,0.636,82,104,0.788,67,283,350,126,30,50,92,113,553
"Dorka Juhász","MIN","F",34,547,7,69,144,0.479,11,34,0.324,58,110,0.527,13,20,0.65,32,97,129,36,15,13,21,39,162
"Ezinne Kalu","ATL","G",1,13,0,1,3,0.333,0,1,0.0,1,2,0.5,1,1,1.0,0,1,1,0,1,0,0,4,3
"Betnijah Laney-Hamilton","NYL","G-F",28,848,25,120,263,0.456,41,102,0.402,79,161,0.491,48,53,0.906,30,88,118,93,32,1,66,60,329
"Lou Lopez Sénéchal","DAL","G",27,125,0,10,34,0.294,3,15,0.2,7,19,0.368,2,4,0.5,3,8,11,10,3,0,6,13,25
"Jewell Loyd","SEA","G",37,1246,37,224,622,0.36,59,215,0.274,165,407,0.405,222,252,0.881,26,140,166,135,52,8,85,67,729
"Natasha Mack","PHO","F",40,619,11,71,124,0.573,0,3,0.0,71,121,0.587,11,19,0.579,60,139,199,44,27,47,28,56,153
"Ezi Magbegor","SEA","F-C",37,1135,37,172,336,0.512,13,53,0.245,159,283,0.562,76,87,0.874,83,213,296,74,40,82,53,117,433
"Kate Martin","LVA","G",34,392,2,27,88,0.307,22,62,0.355,5,26,0.192,11,12,0.917,6,48,54,30,7,8,21,29,87
"Kayla McBride","MIN","G",39,1237,39,174,414,0.42,105,258,0.407,69,156,0.442,133,149,0.893,14,86,100,126,49,2,79,48,586
"Teaira McCowan","DAL","C",39,983,38,184,323,0.57,1,4,0.25,183,319,0.574,89,124,0.718,112,202,314,61,34,34,77,117,458
"Aari McDonald","LAS","G",26,568,10,77,191,0.403,29,91,0.319,48,100,0.48,43,51,0.843,12,40,52,96,23,6,48,52,226
"Jade Melbourne","WAS","G",37,525,0,72,166,0.434,20,56,0.357,52,110,0.473,35,49,0.714,13,42,55,59,24,5,62,54,199
