Player,Team,Pos,G,MP,GS,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Sania Feagin,LAS,F,14,65,0,8,25,0.32,0,4,0.0,8,21,0.381,0,2,0.0,3,7,10,1,0,6,7,13,16
Leonie Fiebich,NYL,F,35,999,35,105,212,0.495,50,114,0.439,55,98,0.561,53,60,0.883,22,105,127,64,33,14,45,85,313
Rebekah Gardner,NYL,G,39,472,5,49,101,0.485,16,37,0.432,33,64,0.516,20,24,0.833,25,47,72,25,22,7,22,60,134
Luisa Geiselsoder,DAL,C,28,628,24,76,179,0.425,31,94,0.33,45,85,0.529,9,11,0.818,24,109,133,44,22,19,28,67,192
Allisha Gray,ATL,G,40,1410,40,238,534,0.446,93,246,0.378,145,288,0.503,176,220,0.8,34,181,215,142,45,14,73,108,745
Chelsea Gray,LVA,G,41,1275,41,154,357,0.431,55,155,0.355,99,202,0.49,92,104,0.885,22,134,156,220,52,27,118,83,455
Brittney Griner,ATL,C,37,774,25,144,282,0.511,5,19,0.263,139,263,0.529,62,82,0.756,34,163,197,32,5,40,58,73,355
Megan Gustafson,LVA,C,17,200,0,15,47,0.319,11,33,0.333,4,14,0.286,7,15,0.467,7,24,31,5,2,5,5,39,48
Bree Hall,GSV,G,3,12,0,1,3,0.333,0,2,0.0,1,1,1.0,1,3,0.333,0,2,2,0,0,0,3,3,3
Dearica Hamby,LAS,F,41,1292,41,304,523,0.581,14,52,0.269,290,471,0.616,134,217,0.618,104,222,326,133,64,20,111,116,756
Isabelle Harrison,NYL,F,32,343,1,64,126,0.508,4,13,0.308,60,113,0.531,33,43,0.767,27,57,84,22,20,2,21,43,165
Tyasha Harris,DAL,G,5,82,0,8,18,0.444,5,11,0.455,3,7,0.429,2,2,1.0,1,4,5,13,2,2,3,5,23
